Genes,GeneShortNames,UsedReactions,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
ENSG00000196344,ADH7,"MAR03905, MAR08502, MAR08507, MAR08508, MAR08530, MAR06756, MAR01129, MAR01130, MAR01131, MAR01288, MAR00453, MAR00458, MAR01684, MAR06631, MAR06633, MAR04561, MAR07038, MAR04202",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,88.9088916492343,89.0258942165223,106.812764140055,71.2139443759567,106.828089246174,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000196368,NUDT11,"MAR07655, MAR09552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196371,FUT4,"MAR00765, MAR00878, MAR00882, MAR00888, MAR00893, MAR00894, MAR00895, MAR00896, MAR00897, MAR00899, MAR00900, MAR00911, MAR00924, MAR00925, MAR00926",71.2410360926263,89.1088006326229,0,0,0,89.0258942165223,106.812764140055,0,0,0,0,0,0,71.2921385935629,0,0,0,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000196407,THEM5,"MAR02487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196433,ASMT,"MAR04547, MAR04564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.373378988295,0,0
ENSG00000196470,SIAH1,"MAR09491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196475,GK2,"MAR00448, MAR00450",71.2410360926263,89.1088006326229,0,0,0,89.0258942165223,0,71.2139443759567,0,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,0,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000196502,SULT1A1,"MAR07689, MAR08534, MAR08535, MAR02037, MAR07688, MAR10460, MAR10462, MAR12001, MAR12468",71.2410360926263,89.1088006326229,106.930560759148,106.938207890344,0,0,0,0,106.828089246174,89.0234077051451,0,0,89.0008927885529,71.2921385935629,0,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000196511,TPK1,"MAR04204, MAR04206",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
ENSG00000196517,SLC6A9,"MAR05455, MAR09591, MAR09592, MAR09593, MAR09594, MAR09595, MAR09596, MAR09597, MAR09598, MAR09599, MAR09600, MAR09601, MAR09616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196547,MAN2A2,"MAR07324",71.2410360926263,89.1088006326229,0,0,0,0,0,0,0,0,0,0,0,71.2921385935629,0,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
