"","Malignant cells_N","Malignant cells_T","FGFR2+ fibroblasts_N","FGFR2+ fibroblasts_T","ICAM1- telocytes_N","ICAM1- telocytes_T","FAP+ fibroblasts_N","FAP+ fibroblasts_T","ICAM1+ telocytes_N","ICAM1+ telocytes_T","MFAP5+ myofibroblasts_N","MFAP5+ myofibroblasts_T","CD73+ fibroblasts_N","CD73+ fibroblasts_T","DES+ myofibroblasts_N","DES+ myofibroblasts_T","THBS1+ Macrophage_N","THBS1+ Macrophage_T","VCAN+ Monocyte_N","VCAN+ Monocyte_T","MARCO+ Macrophage_N","MARCO+ Macrophage_T"
"ENSG00000197375",22.2947139904702,13.1537803171644,2.82942853191209,4.08242069987422,2.69081985123268,4.91643103299815,3.56778747512282,1.25879238123574,2.6024661873135,2.72588632278598,3.41094825052713,2.24273133994806,3.02673358936092,4.79908068561609,1.92663520726857,2.20444466045542,1.45787988075629,2.57117182470278,1.91409010417805,1.24393428959411,0,2.20584274278062
"ENSG00000164405",81.985162737829,85.1616383110674,70.9879214110625,80.5659093322019,72.787528644143,77.3909236485561,72.885922023038,90.2088360066813,66.6533450506214,79.7835076429506,87.164941519759,82.803981937487,71.0682972145769,78.0026272147346,86.0906050732562,78.3494294290337,71.4759893916144,77.4380496661555,51.1330115926277,67.9470556334422,55.5325434089214,80.1327584739334
"ENSG00000119048",81.1290651670443,65.3194953450677,64.2942001168715,57.9567427326707,70.5657298399723,54.2046212935911,67.816815023155,65.0644767880471,84.685722968377,74.1906875641867,71.8990542910806,62.5606768013026,70.6581151117659,53.7363279649751,70.2545614471076,86.3060734754158,64.9325372132195,65.1822374312226,93.7624687975984,85.9113451377448,55.4600193993612,71.6080890615696
"ENSG00000132570",24.2028631389884,14.6997550885428,4.00348637483594,3.62804138480608,4.84889278266865,2.22674454701283,4.01848770128343,2.77897846328507,3.27456973373285,3.26226144134453,6.09791859018742,8.61780406117522,4.1370716108953,8.87856147362066,9.40957348560533,2.86318899928728,6.37017145576756,6.42292918370142,3.52870298731287,4.74499833985175,5.27273143759505,6.8195178519065
"ENSG00000170482",0.497473116329254,3.18134407560918,0.0228849300793228,0,0,0,0,0.0223790296578599,0.113286837517632,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131508",58.8499312166264,48.1590035215225,53.4350935081244,50.2791804616566,58.5753658231375,50.1040247909544,48.4541994033867,51.492039696566,53.403486277789,50.20726367669,66.3485518287361,58.938774847545,53.2661417680754,39.748057937852,67.7410761348454,60.9300739300027,45.1945528959695,44.9249205251176,51.4646940071289,50.5569491950565,56.5859567555421,51.3883448332393
"ENSG00000243056",0.733820414538546,1.34949220397521,1.50467243925844,0.904965730905342,0.305475179958871,0.926978432524463,0.932739269287811,0.911245445645125,1.41711791967072,0.636531646152718,1.58263377590327,2.08759676045686,3.16136842539435,2.22683417918202,1.27346114966557,1.54147928632908,1.78534271619766,0.705841723748624,2.12553162728723,0.829895534839649,0,0.832900895893463
"ENSG00000131495",71.6366820238936,36.3072959273101,56.9117823000903,60.6868922447394,52.5882347595346,43.9919423399426,52.4515533098785,53.7917969364742,53.0399249452341,47.8197025204783,61.012220099046,48.8662997828628,55.8765042739429,50.2534079237331,57.0049493266322,49.1852464772875,62.0581601787505,59.6533876336176,53.5351436857749,50.3117386610784,59.8380483446331,53.9798318124084
"ENSG00000013561",5.18124812081255,19.0862636455272,10.3649509787724,7.44355047950043,12.6365657387504,14.7075843535251,11.426819210306,8.28609804133822,11.0836109346714,6.92057379306174,11.3554291188457,13.5517808775722,11.7499807803243,7.86499305670735,12.022714072708,12.425456474674,8.01223945144409,9.7759574275173,0.390872029439345,5.0381166871193,2.37095155042278,11.358241908772
"ENSG00000113552",13.7818526262658,6.35023772477915,14.990326544429,12.5213373161536,16.8723574718008,17.3155721684047,19.715520235956,13.3622124312737,12.4670874576875,14.4022221896601,14.782746627922,12.8337437045032,16.1512878225372,17.8296669466513,14.7673621439395,13.6841146637319,54.8583191760841,48.8839911157736,11.0747046232648,28.215759027251,41.4484537232424,38.2181246492811
"ENSG00000156463",7.44211241440326,27.6960000236766,0.197347162551668,0.613368784185606,0.273431688154681,0,0,0.447741178178935,0.245396376772626,0.11877757050279,0.219877679037778,0,0,1.26678499614193,0.416667191762143,0.10808515637482,0.0555372361520739,0.122475937205413,0,0.046009801408227,0,0.0985559968005247
"ENSG00000132915",6.27290953366092,3.85942184273971,0.0753642061428786,0,0,0,0.750871398389477,0.0169902012255166,0.181015582965948,0.465162185330767,0.189647404946172,0,0.0888292494315005,0,0.445097207179806,0,0,0.0608401883457111,0,0,0,0.259265316511795
"ENSG00000155850",63.5840121379524,135.361071115682,14.8204787595975,13.9816345387952,11.7488724833662,15.5029952130148,12.4636486437792,14.4055762166562,14.4867720492444,18.7904915085345,20.475680430712,29.5227400402342,10.7555383416868,14.3146762546237,9.9693845663544,17.1332641039728,12.6475530798873,16.2433245102093,6.09243595990539,15.2179465535166,11.0818894587807,15.260216518535
"ENSG00000011083",0.450378854326581,6.99362645955973,0.162562885377824,0,0,0,0,0.269248237890216,0.159041467186519,0.17808196486612,0,0,0.154949472696482,0,0,0,0.695076398360156,0.317643935818103,0,0.341852830511863,0,0.198152861819223
"ENSG00000070614",0.509081438198582,0.574542850718945,5.48898994575589,7.72661855296195,7.96720268468751,4.0357997528435,3.01318715094906,7.44443227481572,5.32946178517662,7.28150754880516,4.76180536876154,11.6422616343695,5.85575808316165,5.86379977453327,4.4783359680137,5.30632850657753,1.86063909404238,4.12932961234211,3.11623902573019,3.15436363827543,4.35738785816562,4.24305472518718
"ENSG00000211445",0,0.577242805726827,94.100341481171,62.822339621177,99.5394463037709,75.6652783852925,48.2117268467377,12.1251905097192,84.8976349061644,45.011564607462,14.0926511754186,10.2116081584887,79.4538766205437,69.0090815055044,2.81574379570241,1.43232527998156,19.8431915387189,36.3584174910426,8.16212643847281,6.60552634420724,22.3586283951835,36.454378882781
"ENSG00000196743",3.13990627936371,2.74120304064672,6.62319234216201,7.07987640655997,7.41667137902865,8.33859479655675,4.95514372352544,6.91500615324555,4.68566451186942,5.30057947331908,6.38017105516704,11.4429364194479,9.14059101544372,11.2616891667427,7.01472983931224,10.3404926095034,70.8738938692895,82.7695494517572,24.4421025586265,33.3471035438308,37.5430737122976,88.1733014671655
"ENSG00000123643",0.566839843790055,8.97190346506276,2.98918841965755,5.71892440630609,4.27376698374983,8.58875033462181,8.82025759197604,10.3230934880445,4.80780629109433,4.62576136200015,1.68715139439035,6.54420892928509,4.37676399056434,10.4356079399947,0.61015563127327,3.57708399650553,22.0223690384545,30.393392846992,3.85317116558251,10.2212050563105,0,22.3828044700212
"ENSG00000164574",10.652120409024,5.4086813116364,7.06552534042382,9.62301305510214,5.0551645498376,7.71173805632556,5.40930723191743,15.9322102680293,3.8409000352226,4.41843062724386,12.2619451808911,28.5091634898147,11.5321726704412,28.4132876513133,20.9920744193976,28.8392399914626,10.4603250369129,9.13052747202843,6.18203811835847,5.47073599886487,0,7.0858134094927
"ENSG00000170271",0,9.92131347348889,11.6256829261482,5.40930857475122,11.6444800286766,4.08016146730534,10.3744510206363,3.86904875566245,10.4516420777924,7.23433146053799,10.2163236551427,6.57531053971168,18.831619962823,6.8291765280648,14.6312681259346,10.5478816794246,5.28271639473982,2.73893991081105,4.62497894968385,0.859192996232008,1.44726935695225,1.62914537494618
"ENSG00000038274",5.26788899297094,11.3082184143206,17.2347907278773,16.3024059297661,24.5746874353865,23.9060318544808,20.1238915374667,14.6614549572357,20.960663585701,16.4254185378622,15.1806237366598,9.81293520683007,14.6238897950283,14.5534678953779,15.6127322838253,26.8359655343138,24.7918876684841,27.1171739607315,19.4406836467371,22.2908556374782,34.8572277796309,23.9512817265547
"ENSG00000120137",45.7937840019795,37.3807970731413,11.3938398079801,13.9136392414308,21.1900900674549,13.1002809528107,9.196368889957,14.5590235492606,14.475555716802,14.5568788889208,16.0027451473373,10.9750536995313,12.5557206943082,16.0644935711003,17.0668379352118,19.4806754550907,21.7226743707712,20.5266219176467,18.8352783158246,22.1109277986444,8.73551310270208,20.2730455785047
"ENSG00000214357",22.1264899327079,4.96362341992743,6.02269422813738,3.50715877713468,8.09800812977729,18.938999656006,3.02276267237734,4.76015707734534,4.37019816126775,6.51015314812982,1.01861162894739,6.70998081398072,4.40696582479623,2.78261167959194,8.28492132093388,6.86519295046988,0.210787527191593,0.182097956389274,0,0.535564688233991,0,0.185208782527422
"ENSG00000113732",37.632431259112,39.3656480647484,85.94366438238,94.4165612545831,83.3352159891295,90.7019783328979,81.7440026202634,108.649810545971,80.5959944160409,88.9001040910631,83.392618479163,86.7063784671315,102.891705295502,118.917098817622,85.0233489637996,101.643840668714,113.165148239284,134.272881610829,82.0703463511708,105.010896808715,94.7586552262832,130.636610702574
"ENSG00000164466",21.4417814428903,12.6776401648665,12.5315526166209,14.6307182154642,14.0850014402539,13.8540822161742,10.907163639786,15.7293006240876,11.0860893598562,14.2412343290494,13.6712173270335,13.740359022993,13.6798612770389,18.3674673637988,14.632307039429,12.8972888775393,6.43235151429241,6.32206678290741,0.56208803977361,3.93834059204228,2.9727784531816,8.20246279817311
"ENSG00000146066",67.948692819044,30.3489174369285,69.3553075252678,62.6899996602925,57.0660289988944,52.173426425526,58.5893644022378,58.6196463606902,64.9993110021078,57.9357750878863,77.9861424100674,56.8864855612214,61.4749710262903,46.3261646028875,72.2939439624927,61.3013498253093,76.5975530367346,74.3443016220517,93.5176569828612,71.1221331746519,89.5942111336544,76.370508671129
"ENSG00000160883",0,0,0.037547086128283,0,0,0,0,0.0927735031339192,0.0565665406965217,0,0.166554551376023,0,0,0,0,0,6.59384141740473,14.8410080921969,7.35636816162011,9.51534615971311,0,24.1861580070279
"ENSG00000165671",17.7940977986812,43.5136168648122,24.5319928171881,18.4778508052285,28.103598359173,30.5208401338014,14.4270808020295,22.6602570358938,19.4454993521797,17.5232455471437,26.0516061923632,39.3730305509228,21.6931341734013,24.8076985697891,26.2394589057131,28.1627627611332,22.9522127863544,19.7009534958929,21.0152852333489,14.6887878169379,17.1002391755356,20.3649955797662
"ENSG00000131183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363995930705837,0,0,0,0.0668095746061964
"ENSG00000027847",4.06725130300353,5.64719503733566,16.6566768647229,17.3694641328482,17.6253396620374,12.7473831516953,16.5494364106983,22.7860492886422,18.8415202123381,19.2924490510641,17.2036733998935,7.68598423140874,16.1661250534701,20.148518683703,13.4408259985227,15.3207574055822,17.579152292884,13.8291721916368,12.0331380216646,10.7891107492133,10.3988486192403,16.7022255469358
"ENSG00000175309",16.3352207270613,63.9460847264704,25.9012590102858,22.6937667506398,21.5731056329647,25.9771106817396,27.160181337505,14.9787184404374,20.5801839301717,19.4169428940595,21.8193287330501,12.053057514965,29.1028753910801,12.6016713658573,15.8970222636911,15.6227798999568,16.5117497790553,14.9804406016749,21.7593603294688,17.0117873692313,25.0834321445091,14.2755203345602
"ENSG00000213316",0.451743542337901,1.22820789696586,2.42328226878663,8.05553708866902,2.85270898840362,3.06405025516679,0,2.04454008616538,2.17435636525956,0.636525351805005,0.84791295059521,0,5.68020241728165,7.46310471300789,3.28342274714812,0.555443563847139,69.5636583311999,24.6525368173687,21.8096313012384,6.22665628874209,41.0482427098756,4.62834322319507
"ENSG00000161013",47.1577431131619,84.7957204347881,16.8982904705743,17.3007537347424,19.3442960682938,23.0708894582968,17.426587211162,24.0955724027495,17.7343168221569,21.411332448395,15.9550673096762,12.0561700607782,16.4451394752255,17.5046145792855,13.3363385976239,20.1263844992395,16.125391756142,20.4863554999337,6.28813929985312,11.9011186065153,14.6158721661627,20.2316121338438
"ENSG00000113269",16.3296652736011,11.5280127932226,30.3223495306705,27.426433267203,39.6740917148259,29.1577636559753,25.902094291044,21.6216688373051,27.4279302409992,20.9125496354162,33.9738276585467,28.7618637815157,34.7180208202428,20.1505204754664,32.7246231894944,25.3765616402554,96.7799826431925,92.7095635870444,68.2678480241862,70.0670137209344,77.9170385578028,88.5573288722747
"ENSG00000131459",0.987522659945558,3.12349991782059,12.246965363568,13.3956141652992,6.26911331568967,25.9208168130875,20.8155218443776,31.2298925927503,12.4095193015596,13.3988463158461,5.95036615264368,6.71653680684861,29.1279117994794,53.5642868230833,3.32851762516597,11.9681055934418,0.834525875933273,0.611777697915281,0.543342322549108,0.617579213680355,0,0.425132285212995
"ENSG00000131446",17.1636157301971,23.1180060386978,33.827744840396,39.6033652264494,34.8185960391368,38.1867768211876,32.5624171659711,47.4297812324918,39.1387691029604,44.1674143471544,35.5586038925547,34.5507224952228,39.8871019862,37.0157073972664,26.9195836595103,26.8618087816086,104.403428417474,108.74494401814,109.920932578073,130.759791507359,91.8512051019397,110.533428165064
"ENSG00000112699",36.2087992504028,67.0911280178928,5.26513518360921,4.61471849497183,4.9276454913725,2.05492351491436,4.85575346667342,5.63266392409856,2.7421974765224,6.5316510423388,2.79310260219573,2.42440446848329,4.93783564750229,3.46325025517613,3.46770248375464,14.58468072573,8.04899117128199,6.4913264864418,6.29070021361147,4.10564865610631,10.1109457132021,4.42955302087462
"ENSG00000145949",0.56964130897001,0,0.496639609312218,0.418104814336314,1.43922607352315,0,0,0.14229713636768,0.347653698827032,0,0.630565316614186,0,0.44067908090538,0,0,0,0.249384606128474,0.0263564367358064,0,0.270573186370408,0,0
